,Year,Area/Region/Country,Country or Area of Origin / Total
1801,2017,Monaco,21255
1802,2017,Netherlands,2056520
1803,2017,Switzerland,2506394
1804,2017,LATIN AMERICA AND THE CARIBBEAN,9508189
1805,2017,Caribbean,1399747
1806,2017,Anguilla,5579
1807,2017,Antigua and Barbuda,28646
1808,2017,Aruba,36356
1809,2017,Bahamas,61806
1810,2017,Barbados,34660
1811,2017,British Virgin Islands,19959
1812,2017,Caribbean Netherlands,13508
1813,2017,Cayman Islands,24355
1814,2017,Cuba,13136
1815,2017,Curaçao,38396
1816,2017,Dominica,6782
1817,2017,Dominican Republic,424964
1818,2017,Grenada,7124
1819,2017,Guadeloupe,99350
1820,2017,Haiti,40533
1821,2017,Jamaica,23332
1822,2017,Martinique,61579
1823,2017,Montserrat,1364
1824,2017,Puerto Rico,273494
1825,2017,Saint Kitts and Nevis,7587
1826,2017,Saint Lucia,12889
1827,2017,Saint Vincent and the Grenadines,4595
1828,2017,Sint Maarten (Dutch part),28260
1829,2017,Trinidad and Tobago,50214
1830,2017,Turks and Caicos Islands,24534
1831,2017,United States Virgin Islands,56745
1832,2017,Central America,2092819
1833,2017,Belize,59998
1834,2017,Costa Rica,414214
1835,2017,El Salvador,42323
1836,2017,Guatemala,81528
1837,2017,Honduras,38700
1838,2017,Mexico,1224169
1839,2017,Nicaragua,41159
1840,2017,Panama,190728
1841,2017,South America,6015623
1842,2017,Argentina,2164524
1843,2017,Bolivia (Plurinational State of),148837
1844,2017,Brazil,735557
1845,2017,Chile,488571
1846,2017,Colombia,142319
1847,2017,Ecuador,399068
1848,2017,Falkland Islands (Malvinas),1579
1849,2017,French Guiana,111718
1850,2017,Guyana,15530
1851,2017,Paraguay,160519
1852,2017,Peru,93780
1853,2017,Suriname,47699
1854,2017,Uruguay,79586
1855,2017,Venezuela (Bolivarian Republic of),1426336
1856,2017,NORTHERN AMERICA,57664154
1857,2017,Bermuda,18954
1858,2017,Canada,7861226
1859,2017,Greenland,6014
1860,2017,Saint Pierre and Miquelon,990
1861,2017,United States of America,49776970
1862,2017,OCEANIA,8410933
1863,2017,Australia/New Zealand,8102983
1864,2017,Australia,7035560
1865,2017,New Zealand,1067423
1866,2017,Melanesia,118078
1867,2017,Fiji,13911
1868,2017,New Caledonia,66001
1869,2017,Papua New Guinea,32389
1870,2017,Solomon Islands,2532
1871,2017,Vanuatu,3245
1872,2017,Micronesia,117601
1873,2017,Guam,78027
1874,2017,Kiribati,3022
1875,2017,Marshall Islands,3292
1876,2017,Micronesia (Fed. States of),2785
1877,2017,Nauru,3710
1878,2017,Northern Mariana Islands,21777
1879,2017,Palau,4988
1880,2017,Polynesia,72271
1881,2017,American Samoa,23561
1882,2017,Cook Islands,4213
1883,2017,French Polynesia,30687
1884,2017,Niue,553
1885,2017,Samoa,4879
1886,2017,Tokelau,504
1887,2017,Tonga,4952
1888,2017,Tuvalu,143
1889,2017,Wallis and Futuna Islands,2779
